transaction_id,account_number,amount,transaction_type,status,timestamp,transaction_date
TXN00063,ACC9393,49647.38,RTGS,SUCCESS,2026-09-01 00:38:16,2026-09-01
TXN00064,ACC4396,43363.33,RTGS,PENDING,2026-08-19 00:38:16,2026-08-19
TXN00065,ACC4967,18062.6,IMPS,SUCCESS,2026-08-30 00:38:16,2026-08-30
TXN00066,ACC7728,3099.34,RTGS,SUCCESS,2026-08-23 00:38:16,2026-08-23
TXN00067,ACC6696,13641.13,RTGS,PENDING,2026-08-30 00:38:16,2026-08-30
TXN00068,ACC5170,3195.13,IMPS,SUCCESS,2026-08-19 00:38:16,2026-08-19
TXN00070,ACC7575,1081.71,IMPS,PENDING,2026-09-05 00:38:16,2026-09-05
TXN00071,ACC8029,1565.14,RTGS,SUCCESS,2026-08-19 00:38:16,2026-08-19
TXN00075,ACC3956,16024.3,RTGS,PENDING,2026-08-28 00:38:16,2026-08-28
TXN00076,ACC8850,44705.73,IMPS,PENDING,2026-08-27 00:38:16,2026-08-27
TXN00077,ACC9853,12298.26,IMPS,PENDING,2026-08-22 00:38:16,2026-08-22
TXN00080,ACC6004,7270.2,IMPS,PENDING,2026-09-04 00:38:16,2026-09-04
TXN00081,ACC7598,7693.7,RTGS,SUCCESS,2026-09-15 00:38:16,2026-09-15
TXN00082,ACC1501,29385.8,IMPS,SUCCESS,2026-09-06 00:38:16,2026-09-06
TXN00084,ACC7115,28148.09,IMPS,SUCCESS,2026-09-03 00:38:16,2026-09-03
TXN00085,ACC3665,35890.36,IMPS,SUCCESS,2026-09-09 00:38:16,2026-09-09
TXN00089,ACC5261,11006.98,RTGS,SUCCESS,2026-09-18 00:38:16,2026-09-18
TXN00090,ACC4815,31526.72,IMPS,SUCCESS,2026-08-22 00:38:16,2026-08-22
TXN00091,ACC6866,48328.67,IMPS,PENDING,2026-09-18 00:38:16,2026-09-18
TXN00092,ACC9712,19113.81,IMPS,PENDING,2026-09-06 00:38:16,2026-09-06
TXN00093,ACC1799,164.2,NEFT,SUCCESS,2026-09-11 00:38:16,2026-09-11
TXN00096,ACC3782,19306.77,IMPS,PENDING,2026-09-16 00:38:16,2026-09-16
TXN00097,ACC7240,527.18,RTGS,PENDING,2026-09-06 00:38:16,2026-09-06
TXN00098,ACC1680,21867.47,IMPS,PENDING,2026-09-02 00:38:16,2026-09-02
TXN00100,ACC5262,32700.51,IMPS,SUCCESS,2026-09-15 00:38:16,2026-09-15
